Id,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,Y2
706,760.2440798,651.4855538,544.0156337,436.3294407,327.4831226,217.8639344,108.0192686,0.937268569,0.951192284,0.969290325,0.996823435,1.016407839,1.039832236,1.053714286,1,3.894674832,6.758218451,9.679599069,12.49879912,15.37527705,18.21361427,22.05647141,19.97608227,17.92682434,15.81972941,13.81481504,11.7526228,9.728571265,6.728571265,112.7390879,218.3012588,323.8759165,429.6711538,536.34741,642.9208328,748.5494042,754.2674573,760.4338562,766.5877681,772.5211006,777.5734141,782.728561,789.8042753,792.8757038,795.9471324,799.018561,802.0899895,805.1614181,808.2328467,811.1828467,696.054277,580.9257073,465.7971377,350.668568,235.5399983,0.72
239,757.3663804,648.6084288,542.1407739,435.7831534,327.9798552,219.361207,110.1183264,1.379566542,1.327263786,1.276078306,1.23257993,1.179751483,1.110635771,1.051981369,1,4.705070331,8.407627911,12.09508013,15.81601801,19.49158404,23.20412557,26.89548787,23.97613183,21.05928853,18.1575506,15.22232701,12.33247526,9.405648012,6.5,108.5669337,215.7716826,322.4132211,428.0035196,534.876246,642.0668645,749.5969872,767.4014786,780.0681548,793.2980413,807.5791679,820.5778666,833.2586731,845.5999756,844.914263,844.2285505,843.542838,842.8571254,842.1714129,841.4857003,840.7999878,721.328561,601.8571341,482.3857073,362.9142805,243.4428537,0.62
613,757.0523265,647.6171343,539.6431486,432.6025206,324.6759263,216.2012264,107.9462906,0.864290629,0.889800417,0.914791436,0.946891368,0.962345613,0.995960676,1.053714286,1,3.441433762,6.42133873,9.427493997,12.43360786,15.41071647,18.42869394,22.27155108,20.67297447,18.53592666,16.37262855,14.20937184,12.07512039,9.900000082,6.900000082,114.7808789,223.5488461,330.8610902,440.1960707,582.0290679,714.6322949,820.2608663,824.6371322,828.1263095,833.07121,835.9933741,806.4175214,786.071439,793.1471533,796.3757213,799.6042892,802.8328571,806.0614251,809.289993,812.518561,815.468561,699.6257056,583.7828502,467.9399948,352.0971394,236.254284,0.57
588,760.5717686,653.3768524,545.1645541,436.4975196,327.5712119,217.852478,107.8904505,0.808450477,0.849468414,0.885928772,0.925653693,0.967667911,1.012802979,1.053714286,1,4.908575431,8.838061995,12.73139327,16.65642513,20.54642422,24.47648355,28.3193407,25.25362242,22.16699302,19.1165189,16.03434419,12.98720226,9.900000082,6.900000082,112.7814077,219.2330166,326.7557598,434.0204901,541.1252962,647.6544752,753.2830466,759.6587836,765.4643193,770.1987206,775.191135,780.3434735,786.071439,793.1471533,796.3757213,799.6042892,802.8328571,806.0614251,809.289993,812.518561,815.468561,699.6257056,583.7828502,467.9399948,352.0971394,236.254284,1.01
780,768.8017592,658.5605948,548.335155,438.1083224,327.9195673,218.1984298,107.9048512,0.822851183,0.859613471,0.905861203,0.943751404,1.000183479,1.03273899,1.053714286,1,3.578523429,6.13584368,8.688534154,11.41972642,14.16556057,15.39387821,19.23673535,17.48678338,15.75803458,14.03391556,12.13129475,10.21403205,9.814285878,6.814285878,114.5002433,222.3241951,330.3380791,438.5650236,547.0901207,655.2114788,760.8400502,762.5540893,764.130134,765.5162465,766.6892984,767.5641978,768.8428362,775.9185505,773.9185505,771.9185505,769.9185505,767.9185505,765.9185505,763.9185505,766.8685505,659.1256969,551.3828432,443.6399896,335.8971359,228.1542823,-0.42
511,753.2464538,644.9983745,537.524836,430.7250959,323.9784103,216.2128796,108.5434684,1.461468393,1.393179421,1.333420114,1.270358695,1.199537639,1.132702585,1.053714286,1,4.662202111,8.280087449,11.8925173,15.66920554,19.46279119,23.33539225,27.17824939,24.31604727,21.49816192,18.68573205,15.75190097,12.80117248,9.771428571,6.771428571,112.6404049,219.4161952,325.7087899,430.1764154,534.3380002,640.5169601,746.1455315,750.9908374,754.9293293,759.3510169,765.5548165,772.0646568,776.5571219,783.6328362,781.2614111,778.889986,776.518561,774.1471359,771.7757108,769.4042857,772.3542857,663.6971429,555.04,446.3828572,337.7257143,229.0685715,0.43
482,761.1815475,652.7739357,543.8641652,435.2899016,326.3108048,217.829982,108.7609065,1.344484784,1.290779455,1.240209178,1.1945303,1.145541977,1.100551581,1.05325285,1,2.604270248,5.419423054,8.270176262,11.09111137,13.90906698,16.73363392,19.5772989,18.80160011,16.81501876,14.79283701,12.80047336,10.8110892,8.815093716,6.800000191,113.0269092,219.9692594,326.9910615,434.0526096,540.8870265,647.820266,754.4836989,761.128222,767.0573037,772.9069337,778.7168176,784.7538328,790.6920253,796.9000244,799.9143066,802.9285889,805.9428711,808.9571533,811.9714355,814.9857178,818,701.7714286,585.5428572,469.3142858,353.0857143,236.8571429,0.6
240,751.4663956,643.33603,536.0177781,428.4837697,322.5031862,216.1193004,108.4859356,1.40393559,1.365729724,1.312525587,1.262930739,1.214206693,1.094256382,1.053714286,1,4.654651395,8.360835645,12.06289725,15.75616582,18.76104557,22.4490222,26.29187934,23.42294223,20.50247226,17.58612495,14.67857066,12.4594052,9.557142857,6.557142857,113.0224975,218.7200306,324.4197504,430.0799713,535.184037,640.8536976,746.482269,759.8883395,774.0622315,788.2339368,802.4451409,817.2125003,831.4142648,838.4899791,837.8042665,837.118554,836.4328414,835.7471289,835.0614164,834.3757038,837.3257038,717.854277,598.3828502,478.9114233,359.4399965,239.9685697,0.62
483,757.6801685,650.2656352,542.4757531,434.056821,325.575303,217.3527408,108.4282007,1.346200708,1.288858558,1.239299305,1.194721628,1.145062449,1.1061722,1.053714286,1,3.826807689,6.680265241,9.541630692,12.39852255,15.29437816,18.13110668,21.97396383,19.97572759,17.9508415,15.9180475,13.8897271,11.82244295,9.814285878,6.814285878,114.1796796,220.5669058,327.1977582,433.8612201,540.9922283,648.2808643,753.9094358,759.4154741,765.8996799,772.1402595,778.3482297,784.0886535,789.6714495,796.7471638,799.761446,802.7757282,805.7900105,808.8042927,811.8185749,814.8328571,817.7828571,701.5542857,585.3257143,469.0971429,352.8685715,236.6400001,0.6
230,749.49526,641.9146793,534.4478832,429.5211197,323.5539245,216.1653409,108.2327221,1.150722127,1.215791854,1.268710086,1.213133497,1.1586225,1.104639741,1.053714286,1,4.780536817,8.597340717,12.3916471,16.18884643,20.00082436,23.78509905,27.62795619,24.64741936,21.63061544,18.63630905,15.63910971,12.62713176,9.642857061,6.642857061,112.8052997,217.7952104,322.6942123,427.5504292,533.2376792,639.799103,745.4276744,759.1223712,773.9895998,788.9477373,803.9486598,818.1185492,831.4142648,838.4899791,837.8042665,837.118554,836.4328414,835.7471289,835.0614164,834.3757038,837.3257038,717.854277,598.3828502,478.9114233,359.4399965,239.9685697,0.46
